id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count,director,top_billed,budget_usd,revenue_usd
1057,Heroic Losers,"Comedy, Thriller",es,7.6,1,56,2019-08-15,553,Sebastián Borensztein,"Ricardo Darín, Luis Brandoni, Chino Darín, Verónica Llinás, Daniel Aráoz",,7364054.0
1059,Purple Noon,"Crime, Drama, Thriller",fr,7.6,1,58,1960-03-10,500,René Clément,"Alain Delon, Marie Laforêt, Maurice Ronet, Erno Crisa, Frank Latimore",,
1061,Purple Noon,"Crime, Drama, Thriller",fr,7.6,1,58,1960-03-10,500,René Clément,"Alain Delon, Marie Laforêt, Maurice Ronet, Erno Crisa, Frank Latimore",,
1063,The Greatest Beer Run Ever,"Drama, Comedy, War",en,7.6,2,6,2022-09-23,706,Peter Farrelly,"Zac Efron, Russell Crowe, Kyle Allen, Bill Murray, Jake Picking",2800000.0,
1065,Our Little Sister,Drama,ja,7.6,2,7,2015-06-13,471,Hirokazu Kore-eda,"Haruka Ayase, Masami Nagasawa, Kaho, Suzu Hirose, Ryo Kase",,346485.0
1066,Confessions,"Drama, Thriller, Mystery",ja,7.6,1,47,2010-06-04,878,Tetsuya Nakashima,"Takako Matsu, Masaki Okada, Yoshino Kimura, Yukito Nishii, Kaoru Fujiwara",,45203103.0
1067,Poetry,Drama,ko,7.6,2,19,2010-05-13,303,Lee Chang-dong,"Yoon Jeong-hee, Lee Da-wit, Kim Hee-ra, Ahn Nae-sang, Kim Yong-taek",,349899.0
1069,Dragon Ball Z: The History of Trunks,"Animation, Action, Science Fiction",ja,7.6,0,48,1993-02-24,529,Yoshihiro Ueda,"Masako Nozawa, Mayumi Tanaka, Hiromi Tsuru, Ryo Horikawa, Takeshi Kusao",,
1072,The Garden of Words,"Animation, Drama, Romance",ja,7.6,0,46,2013-05-31,1998,Makoto Shinkai,"Miyu Irino, Kana Hanazawa, Fumi Hirano, Takeshi Maeda, Yuka Terasaki",,
1074,In a Lonely Place,"Drama, Romance, Mystery, Crime",en,7.6,1,34,1950-05-17,573,Nicholas Ray,"Humphrey Bogart, Gloria Grahame, Frank Lovejoy, Carl Benton Reid, Art Smith",,
1083,Tell It to the Bees,"Romance, Drama",en,7.6,1,46,2018-09-09,437,Annabel Jankel,"Anna Paquin, Holliday Grainger, Emun Elliott, Steven Robertson, Lauren Lyle",,
1092,Bao,"Animation, Family, Fantasy",en,7.6,0,8,2018-06-15,1182,Domee Shi,"Daniel Kailin, Sindy Lau, Sharmaine Yeoh, Tim Zhang",,
