id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count,director,top_billed,budget_usd,revenue_usd
7972,True History of the Kelly Gang,"Crime, Drama, Western, Thriller",en,5.9,2,4,2019-11-23,305,Justin Kurzel,"George MacKay, Nicholas Hoult, Essie Davis, Russell Crowe, Charlie Hunnam",,471152.0
7973,Line of Duty,"Thriller, Crime, Action",en,5.9,1,38,2019-12-25,320,Steven C. Miller,"Giancarlo Esposito, Dina Meyer, Courtney Eaton, Ben McKenzie, Aaron Eckhart",,646389.0
7985,Drinking Buddies,"Romance, Drama, Comedy",en,5.9,1,30,2013-08-23,794,Joe Swanberg,"Olivia Wilde, Jake Johnson, Anna Kendrick, Ron Livingston, Ti West",,343341.0
7989,My Girl 2,"Comedy, Family",en,5.9,1,39,1994-02-11,469,Howard Zieff,"Anna Chlumsky, Austin O'Brien, Dan Aykroyd, Jamie Lee Curtis, Richard Masur",,28000000.0
7995,24 Hours to Live,"Action, Science Fiction, Thriller, Mystery",en,5.9,1,34,2017-10-26,642,Brian Smrz,"Ethan Hawke, Qing Xu, Paul Anderson, Rutger Hauer, Tyrone Keogh",,5800000.0
7998,Who's Harry Crumb?,"Comedy, Crime, Mystery",en,5.9,1,34,1989-02-03,316,Paul Flaherty,"John Candy, Jeffrey Jones, Annie Potts, Tim Thomerson, Barry Corbin",,11000000.0
8001,Waiting for the Barbarians,"Drama, History",en,5.9,1,54,2019-09-06,372,Ciro Guerra,"Mark Rylance, Johnny Depp, Robert Pattinson, Gana Bayarsaikhan, Greta Scacchi",,761361.0
8007,Fighting,"Action, Crime, Romance",en,5.9,1,45,2009-04-24,668,Dito Montiel,"Channing Tatum, Terrence Howard, Zulay Henao, Roger Guenveur Smith, Brian J. White",,32474120.0
8021,Breathe In,Drama,en,5.9,1,38,2013-01-18,313,Drake Doremus,"Guy Pearce, Felicity Jones, Amy Ryan, Mackenzie Davis, Kyle MacLachlan",,89661.0
8024,The Riot Club,Drama,en,5.9,1,47,2014-09-19,967,Lone Scherfig,"Max Irons, Sam Claflin, Douglas Booth, Holliday Grainger, Jessica Brown Findlay",,2100000.0
