id,title,genres,language,user_score,runtime_hour,runtime_min,release_date,vote_count,director,top_billed,budget_usd,revenue_usd
6021,La Llorona,"Thriller, Horror, Drama",es,6.4,1,37,2019-07-25,325,Jayro Bustamante,"María Mercedes Coroy, Sabrina De La Hoz, Margarita Kénefic, Julio Díaz, María Telón",,
6034,Bobby,Drama,en,6.4,2,0,2006-09-05,379,Emilio Estevez,"Anthony Hopkins, William H. Macy, Harry Belafonte, Freddy Rodríguez, Laurence Fishburne",,
6036,The Next 365 Days,"Romance, Drama",pl,6.4,1,52,2022-08-18,1091,Barbara Białowąs,"Anna-Maria Sieklucka, Michele Morrone, Simone Susinna, Magdalena Lamparska, Otar Saralidze",,
6038,An Extremely Goofy Movie,"Animation, Family, Comedy",en,6.4,1,19,2000-02-29,630,Douglas McCarthy,"Bill Farmer, Jason Marsden, Jeff Bennett, Jim Cummings, Brad Garrett",,
6046,The Chalk Line,"Horror, Mystery",es,6.4,1,46,2022-09-09,321,Ignacio Tatay,"Elena Anaya, Pablo Molinero, Carlos Santos, Eva Llorach, Esther Acebo",,
6047,A Cinderella Story: Christmas Wish,"Romance, Music, Comedy, Fantasy",en,6.4,1,33,2019-10-15,691,Michelle Johnston,"Laura Marano, Gregg Sulkin, Isabella Gómez, Johannah Newmarch, Lillian Doucet-Roche",,
6050,Darkland: The Return,"Thriller, Action",da,6.4,1,50,2023-04-13,472,Fenar Ahmad,"Dar Salim, Birgitte Hjort Sørensen, Stine Fischer Christensen, Henrik Vestergård, Soheil Bavi",,
6064,Starter for 10,"Drama, Comedy, Romance",en,6.4,1,32,2006-09-13,394,Tom Vaughan,"James McAvoy, Alice Eve, Rebecca Hall, Catherine Tate, Dominic Cooper",,
6065,Camp Rock,"Music, Comedy, Drama, Romance, Family, TV Movie",en,6.4,1,35,2008-06-20,2073,Matthew Diamond,"Demi Lovato, Joe Jonas, Meaghan Jette Martin, Maria Canals-Barrera, Alyson Stoner",,
6067,Ginger Snaps 2: Unleashed,"Drama, Horror",en,6.4,1,34,2004-01-30,312,Brett Sullivan,"Emily Perkins, Tatiana Maslany, Katharine Isabelle, Eric Johnson, Janet Kidder",,
6075,The Sleepover,"Family, Action",en,6.4,1,43,2020-08-21,404,Trish Sie,"Sadie Stanley, Maxwell Simkins, Cree Cicchino, Lucas Jaye, Malin Åkerman",,
6076,"Someone, Somewhere","Drama, Romance, Comedy",fr,6.4,1,50,2019-09-11,645,Cédric Klapisch,"François Civil, Ana Girardot, Camille Cottin, François Berléand, Simon Abkarian",,
6082,Code 8 Part II,"Science Fiction, Action, Crime",en,6.4,1,41,2024-02-27,556,Jeff Chan,"Robbie Amell, Stephen Amell, Alex Mallari Jr., Sirena Gulamgaus, Aaron Abrams",,
6083,Chupa,"Adventure, Fantasy, Family",en,6.4,1,38,2023-04-07,334,Jonás Cuarón,"Evan Whitten, Demián Bichir, Christian Slater, Ashley Ciarra, Julio Cesar Cedillo",,
6085,"Love, Guaranteed","Romance, Comedy",en,6.4,1,31,2020-09-02,638,Mark Steven Johnson,"Rachael Leigh Cook, Damon Wayans Jr., Heather Graham, Caitlin Howden, Brendan Taylor",,
6087,He Was a Quiet Man,"Comedy, Drama, Romance",en,6.4,1,35,2007-11-23,319,Frank A. Cappello,"Christian Slater, Elisha Cuthbert, William H. Macy, Sascha Knopf, John Gulager",,
6089,Gerald's Game,"Horror, Thriller",en,6.4,1,44,2017-09-29,3618,Mike Flanagan,"Carla Gugino, Bruce Greenwood, Henry Thomas, Chiara Aurelia, Kate Siegel",,
6094,Family Switch,"Comedy, Fantasy, Family",en,6.4,1,46,2023-11-30,606,McG,"Jennifer Garner, Ed Helms, Emma Myers, Brady Noon, Rita Moreno",,
6096,The Little Mermaid II: Return to the Sea,"Animation, Adventure, Family, Comedy",en,6.4,1,15,2000-01-23,1690,Jim Kammerud,"Jodi Benson, Samuel E. Wright, Tara Strong, Pat Carroll, Buddy Hackett",,
6097,Do Revenge,"Comedy, Thriller, Romance",en,6.4,1,58,2022-09-14,862,Jennifer Kaytin Robinson,"Camila Mendes, Maya Hawke, Austin Abrams, Rish Shah, Sarah Michelle Gellar",,
6107,Baggio: The Divine Ponytail,Drama,it,6.4,1,31,2021-05-26,412,Letizia Lamartire,"Andrea Arcangeli, Valentina Bellè, Andrea Pennacchi, Antonio Zavatteri, Anna Ferruzzo",,
6110,Buzz Lightyear of Star Command: The Adventure Begins,"Animation, Family, Comedy, Science Fiction, Adventure",en,6.4,1,10,2000-08-08,321,Tad Stones,"Tim Allen, Nicole Sullivan, Stephen Furst, Larry Miller, Adam Carolla",,
6112,The 9th Life of Louis Drax,"Mystery, Thriller",en,6.4,1,48,2016-09-01,444,Alexandre Aja,"Jamie Dornan, Sarah Gadon, Aaron Paul, Molly Parker, Aiden Longworth",,
6116,The Last Kiss,"Comedy, Drama, Romance",it,6.4,1,55,2001-02-01,503,Gabriele Muccino,"Stefano Accorsi, Giovanna Mezzogiorno, Stefania Sandrelli, Martina Stella, Claudio Santamaria",,
6133,The Talent of the Hornet,"Thriller, Drama",it,6.4,1,33,2020-11-18,428,Giacomo Cimini,"Sergio Castellitto, Lorenzo Richelmy, Anna Foglietta, Marina Occhionero, Cristina Marino",,
6134,Ocean Waves,"Animation, Drama, Romance",ja,6.4,1,12,1994-10-07,862,Tomomi Mochizuki,"Nobuo Tobita, Youko Sakamoto, Toshihiko Seki, Yuri Amano, Kae Araki",,
6137,Dolls,"Fantasy, Horror",en,6.4,1,17,1986-10-27,318,Stuart Gordon,"Ian Patrick Williams, Carolyn Purdy-Gordon, Carrie Lorraine, Guy Rolfe, Hilary Mason",,
6138,It's What's Inside,"Comedy, Mystery, Science Fiction",en,6.4,1,43,2024-01-19,345,Greg Jardin,"Brittany O'Grady, James Morosini, Gavin Leatherwood, Nina Bloomgarden, Alycia Debnam-Carey",,
6140,Jump In!,"Drama, Comedy, Romance",en,6.4,1,25,2007-01-12,398,Paul Hoen,"Corbin Bleu, Keke Palmer, David Reivers, Shanica Knowles, Laivan Greene",,
6141,The Postcard Killings,"Drama, Thriller",en,6.4,1,41,2020-03-13,571,Danis Tanović,"Jeffrey Dean Morgan, Famke Janssen, Cush Jumbo, Joachim Król, Steven Mackintosh",,
6148,Fair Play,"Drama, Thriller, Romance",en,6.4,1,53,2023-09-28,484,Chloe Domont,"Phoebe Dynevor, Alden Ehrenreich, Eddie Marsan, Rich Sommer, Sebastian de Souza",,
6149,Do You See Me?,Comedy,it,6.4,1,39,2014-11-20,564,Riccardo Milani,"Paola Cortellesi, Raoul Bova, Corrado Fortuna, Lunetta Savino, Marco Bocci",,
6155,How to Build a Better Boy,"Family, Science Fiction, TV Movie",en,6.4,1,30,2014-11-18,393,Paul Hoen,"China Anne McClain, Kelli Berglund, Marshall Williams, Matt Shively, Ashley Argota",,
6164,Son of a Gun,"Action, Crime, Drama, Thriller",en,6.4,1,48,2014-10-16,754,Julius Avery,"Ewan McGregor, Brenton Thwaites, Alicia Vikander, Jacek Koman, Matt Nable",,
6166,Dragon Ball: Yo! Son Goku and His Friends Return!!,"Animation, Action, Adventure, Science Fiction",ja,6.4,0,35,2008-09-21,515,Yoshihiro Ueda,"Masakazu Morita, Ryo Horikawa, Takeshi Kusao, Masako Nozawa, Naoko Watanabe",,
6172,No Way Up,"Thriller, Horror, Action",en,6.4,1,30,2024-01-18,927,Claudio Fäh,"Colm Meaney, Phyllis Logan, Sophie McIntosh, Will Attenborough, Jeremias Amoore",,
6173,Cinderella,"Fantasy, Romance, Comedy",en,6.4,1,53,2021-09-03,1384,Kay Cannon,"Camila Cabello, Nicholas Galitzine, Idina Menzel, Billy Porter, Pierce Brosnan",,
6174,Below Zero,"Action, Crime, Thriller",es,6.4,1,46,2021-01-29,905,Lluís Quílez,"Javier Gutiérrez, Karra Elejalde, Luis Callejo, Patrick Criado, Andrés Gertrúdix",,
6175,The Final Girls,"Comedy, Horror",en,6.4,1,31,2015-10-09,1260,Todd Strauss-Schulson,"Taissa Farmiga, Malin Åkerman, Nina Dobrev, Alexander Ludwig, Adam Devine",,
6180,The Occupant,"Thriller, Drama",es,6.4,1,43,2020-03-25,739,David Pastor,"Javier Gutiérrez, Mario Casas, Bruna Cusí, Ruth Díaz, Iris Vallés Torres",,
6189,A Cinderella Story: Once Upon a Song,"Comedy, Family, Romance, Drama",en,6.4,1,28,2011-09-05,1011,Damon Santostefano,"Lucy Hale, Freddie Stroma, Missi Pyle, Megan Park, Matt Lintz",,
6192,Inheritance,"Drama, Mystery, Thriller",en,6.4,1,50,2020-04-30,627,Vaughn Stein,"Lily Collins, Simon Pegg, Connie Nielsen, Chace Crawford, Patrick Warburton",,
6198,8-Bit Christmas,"Family, Comedy, Fantasy",en,6.4,1,38,2021-11-24,377,Michael Dowse,"Neil Patrick Harris, Winslow Fegley, Steve Zahn, June Diane Raphael, Bellaluna Resnick",,
6203,Ice Age: The Great Egg-Scapade,"Adventure, Animation, Comedy, Family, TV Movie",en,6.4,0,25,2016-03-19,476,Ricardo Curtis,"Ray Romano, John Leguizamo, Denis Leary, Taraji P. Henson, Queen Latifah",,
6204,City of the Living Dead,Horror,it,6.4,1,33,1980-08-11,378,Lucio Fulci,"Christopher George, Catriona MacColl, Carlo De Mejo, Giovanni Lombardo Radice, Janet Ågren",,
6208,Creep,Horror,en,6.4,1,22,2014-06-23,1399,Patrick Brice,"Mark Duplass, Patrick Brice, Katie Aselton",,
6212,All That Glitters,Comedy,fr,6.4,1,40,2010-03-24,737,Géraldine Nakache,"Leïla Bekhti, Géraldine Nakache, Audrey Lamy, Virginie Ledoyen, Linh-Dan Pham",,
6217,Zero Fucks Given,"Drama, Comedy",fr,6.4,1,55,2022-03-02,400,Julie Lecoustre,"Adèle Exarchopoulos, Alexandre Perrier, Mara Taquin, Arthur Egloff, Tamara Al Saadi",,
6221,Someone Great,"Comedy, Romance",en,6.4,1,32,2019-04-19,1144,Jennifer Kaytin Robinson,"Gina Rodriguez, Brittany Snow, DeWanda Wise, Peter Vack, RuPaul",,
6224,If I Were You,"Comedy, Fantasy",pt,6.4,1,48,2006-01-06,365,Daniel Filho,"Tony Ramos, Glória Pires, Thiago Lacerda, Glória Menezes, Lavínia Vlasak",,
6229,WHAT DID JACK DO?,"Comedy, Mystery, Crime",en,6.4,0,20,2017-11-08,475,David Lynch,"Jack Cruz, David Lynch, Emily Stofle",,
6230,Knock,Comedy,fr,6.4,1,53,2017-10-18,447,Lorraine Lévy,"Omar Sy, Ana Girardot, Alex Lutz, Hélène Vincent, Pascal Elbé",,
6234,Prozac Nation,"Drama, Romance",en,6.4,1,35,2001-09-08,302,Erik Skjoldbjærg,"Christina Ricci, Jason Biggs, Anne Heche, Michelle Williams, Jonathan Rhys Meyers",,
6242,Outside the Wire,"Thriller, Action, Science Fiction",en,6.4,1,56,2021-01-15,1779,Mikael Håfström,"Anthony Mackie, Damson Idris, Enzo Cilenti, Emily Beecham, Henry Garrett",,
6254,Lady and the Tramp II: Scamp's Adventure,"Family, Animation, Romance, Adventure",en,6.4,1,9,2001-02-18,1240,Darrell Rooney,"Scott Wolf, Alyssa Milano, Chazz Palminteri, Jeff Bennett, Jodi Benson",,
6259,You Got Served,"Music, Drama",en,6.4,1,35,2004-01-30,422,Chris Stokes,"Marques Houston, Omarion, J-Boog, Lil' Fizz, Jennifer Freeman",,
6260,The Gendarme Takes Off,Comedy,fr,6.4,1,30,1970-10-28,499,Jean Girault,"Louis de Funès, Jean Lefebvre, Guy Grosso, Michel Modo, Nicole Vervil",,
6271,The Cabbage Soup,"Comedy, Science Fiction",fr,6.4,1,38,1981-12-02,854,Jean Girault,"Louis de Funès, Jean Carmet, Jacques Villeret, Claude Gensac, Christine Dejoux",,
6273,Sweetheart,Horror,en,6.4,1,22,2019-01-28,359,J.D. Dillard,"Kiersey Clemons, Emory Cohen, Hanna Mangan Lawrence, Benedict Samuel, Andrew Crawford",,
6276,Megaboa,"Action, Horror, Science Fiction",en,6.4,1,40,2021-11-26,460,Mario N. Bonassin,"Eric Roberts, Michelle Elizabeth O'Shea, Emilia Torello, Joe Herrera, Garrett Schulte",,
